[2014-06-21 00:09:40] ddary, leaving. (#ios-driver)
[2014-06-21 06:30:23] ddary, joining. (#ios-driver)
[2014-06-21 06:40:33] ddary, quitting. (Quit: ddary)
[2014-06-21 09:04:04] ddary, joining. (#ios-driver)
[2014-06-21 09:04:27] ddary, quitting. (Client Quit)
[2014-06-21 09:12:54] admc, joining. (#ios-driver)
[2014-06-21 09:21:36] admc, quitting. (Quit: Leaving.)
[2014-06-21 10:14:49] smccarthy, joining. (#ios-driver)
[2014-06-21 11:30:28] ddary, joining. (#ios-driver)
