[2013-08-28 19:15:58] nirvdrum, quitting. (Ping timeout: 268 seconds)
[2013-08-28 19:22:17] nirvdrum_, quitting. (Remote host closed the connection)
[2013-08-28 20:00:31] smccarthy, joining. (#ios-driver)
[2013-08-28 20:16:56] nirvdrum, joining. (#ios-driver)
[2013-08-28 20:18:47] smccarthy, quitting. (Remote host closed the connection)
[2013-08-28 21:18:00] nirvdrum, quitting. (Remote host closed the connection)
[2013-08-28 22:28:32] nirvdrum, joining. (#ios-driver)
[2013-08-28 22:33:28] nirvdrum, quitting. (Ping timeout: 264 seconds)
[2013-08-28 23:22:27] ddary, joining. (#ios-driver)
[2013-08-28 23:36:42] zalivakp, joining. (#ios-driver)
[2013-08-28 23:43:41] ddary, quitting. (Quit: ddary)
[2013-08-28 23:45:11] ddary, joining. (#ios-driver)
[2013-08-28 23:56:15] admc, joining. (#ios-driver)
