[2014-09-20 08:25:10] smccarthy, joining. (#ios-driver)
[2014-09-20 09:38:17] ddary, joining. (#ios-driver)
[2014-09-20 09:38:36] ddary, quitting. (Client Quit)
[2014-09-20 11:24:58] santiycr, joining. (#ios-driver)
[2014-09-20 11:33:20] santiycr, quitting. (Quit: Leaving.)
[2014-09-20 11:36:04] santiycr, joining. (#ios-driver)
[2014-09-20 11:50:23] jlipps, joining. (#ios-driver)
[2014-09-20 11:51:46] jlipps, quitting. (Client Quit)
[2014-09-20 11:54:45] jlipps, joining. (#ios-driver)
