[2013-10-21 17:22:11] admc1, quitting. (Client Quit)
[2013-10-21 17:25:38] dimacus, joining. (#ios-driver)
[2013-10-21 17:41:52] chhsiung, quitting. (Quit: Leaving.)
[2013-10-21 17:52:24] admc, joining. (#ios-driver)
[2013-10-21 17:57:11] dimacus, quitting. (Quit: Leaving.)
[2013-10-21 18:03:56] chhsiung, joining. (#ios-driver)
[2013-10-21 18:05:45] dimacus, joining. (#ios-driver)
[2013-10-21 18:08:04] dimacus, quitting. (Client Quit)
[2013-10-21 18:14:36] dimacus, joining. (#ios-driver)
[2013-10-21 18:20:53] dimacus, quitting. (Quit: Leaving.)
[2013-10-21 18:22:24] chhsiung, quitting. (Quit: Leaving.)
[2013-10-21 18:55:48] smccarthy, joining. (#ios-driver)
[2013-10-21 19:14:31] admc, quitting. (Quit: Leaving.)
[2013-10-21 19:16:40] dimacus, joining. (#ios-driver)
[2013-10-21 19:18:02] chhsiung, joining. (#ios-driver)
[2013-10-21 20:24:39] dimacus, quitting. (Quit: Leaving.)
[2013-10-21 20:29:19] dimacus, joining. (#ios-driver)
[2013-10-21 20:31:18] dimacus, quitting. (Client Quit)
[2013-10-21 20:42:06] dimacus, joining. (#ios-driver)
[2013-10-21 20:43:49] lukeis, joining. (#ios-driver)
[2013-10-21 20:52:29] dimacus, quitting. (Quit: Leaving.)
[2013-10-21 20:57:40] dimacus, joining. (#ios-driver)
[2013-10-21 20:59:56] dimacus, quitting. (Client Quit)
[2013-10-21 21:58:20] admc, joining. (#ios-driver)
