[2014-02-12 00:20:50] admc, quitting. (Quit: Leaving.)
[2014-02-12 00:22:19] admc, joining. (#ios-driver)
[2014-02-12 00:22:24] admc, quitting. (Client Quit)
[2014-02-12 01:44:53] Roy6522, joining. (#ios-driver)
[2014-02-12 01:49:28] Roy6522, quitting. (Ping timeout: 265 seconds)
[2014-02-12 03:45:35] Roy6522, joining. (#ios-driver)
[2014-02-12 03:50:18] Roy6522, quitting. (Ping timeout: 265 seconds)
[2014-02-12 05:43:47] nirvdrum, joining. (#ios-driver)
[2014-02-12 05:46:38] Roy6522, joining. (#ios-driver)
[2014-02-12 05:51:18] Roy6522, quitting. (Ping timeout: 260 seconds)
[2014-02-12 06:50:58] gdennis, joining. (#ios-driver)
[2014-02-12 07:00:26] Roy6522, joining. (#ios-driver)
[2014-02-12 07:08:03] Roy6522, quitting. ()
[2014-02-12 07:08:28] Roy6522, joining. (#ios-driver)
[2014-02-12 07:12:10] Roy6522, leaving. (#ios-driver)
[2014-02-12 07:12:13] Roy6522, joining. (#ios-driver)
[2014-02-12 07:12:15] Roy6522, leaving. (#ios-driver)
[2014-02-12 07:40:10] smccarthy, joining. (#ios-driver)
[2014-02-12 07:50:50] samhorwitz, joining. (#ios-driver)
[2014-02-12 08:05:45] lukeis, joining. (#ios-driver)
[2014-02-12 08:49:58] nirvdrum, quitting. (Read error: Connection reset by peer)
[2014-02-12 09:09:44] rsalvador, joining. (#ios-driver)
[2014-02-12 09:33:15] jlipps, joining. (#ios-driver)
[2014-02-12 10:11:36] santiycr, joining. (#ios-driver)
[2014-02-12 10:29:16] admc, joining. (#ios-driver)
[2014-02-12 10:41:21] samhorwitz, quitting. (Ping timeout: 272 seconds)
[2014-02-12 10:47:58] gdennis, quitting. (Quit: gdennis)
[2014-02-12 10:48:19] gdennis, joining. (#ios-driver)
[2014-02-12 10:51:15] samhorwitz, joining. (#ios-driver)
[2014-02-12 10:56:19] nirvdrum, joining. (#ios-driver)
[2014-02-12 11:07:30] rsalvador, quitting. (Quit: Leaving.)
[2014-02-12 11:07:42] rsalvador, joining. (#ios-driver)
[2014-02-12 11:57:12] admc, quitting. (Quit: Leaving.)
[2014-02-12 12:22:14] admc, joining. (#ios-driver)
[2014-02-12 12:23:44] admc, quitting. (Client Quit)
[2014-02-12 13:15:49] gdennis, leaving. (#ios-driver)
[2014-02-12 13:25:42] admc, joining. (#ios-driver)
[2014-02-12 13:25:43] admc, quitting. (Client Quit)
[2014-02-12 13:31:20] admc, joining. (#ios-driver)
[2014-02-12 13:36:48] smccarthy, quitting. (Remote host closed the connection)
[2014-02-12 13:43:05] smccarthy, joining. (#ios-driver)
[2014-02-12 15:30:54] jlipps, quitting. (Quit: Leaving.)
[2014-02-12 15:33:02] jlipps, joining. (#ios-driver)
[2014-02-12 15:35:19] smccarthy, quitting. (Remote host closed the connection)
[2014-02-12 15:58:27] ios-driver-git, joining. (#ios-driver)
[2014-02-12 15:58:27] ios-driver-git: [ios-driver] rsalvador pushed 1 new commit to dev: http://git.io/HFq9rA
[2014-02-12 15:58:27] ios-driver-git: ios-driver/dev dab46b7 rsalvador: Improved diagnostics for env setup problems.
[2014-02-12 15:58:27] ios-driver-git, leaving. (#ios-driver)
[2014-02-12 16:11:06] nirvdrum, quitting. (Ping timeout: 245 seconds)
[2014-02-12 16:56:39] lukeis, quitting. (Quit: Leaving.)
[2014-02-12 17:14:59] jlipps, quitting. (Quit: Leaving.)
[2014-02-12 17:27:19] samhorwitz, quitting. (Ping timeout: 272 seconds)
[2014-02-12 17:27:46] rsalvador, quitting. (Ping timeout: 245 seconds)
[2014-02-12 17:34:34] smccarthy, joining. (#ios-driver)
[2014-02-12 17:35:34] admc, quitting. (Quit: Leaving.)
[2014-02-12 17:58:25] rsalvador, joining. (#ios-driver)
[2014-02-12 18:00:34] rsalvador, quitting. (Client Quit)
[2014-02-12 18:04:47] santiycr, quitting. (Quit: Leaving.)
[2014-02-12 18:15:37] psp250, quitting. (Ping timeout: 260 seconds)
[2014-02-12 18:19:08] psp250_, joining. (#ios-driver)
[2014-02-12 18:23:27] psp250_, quitting. (Excess Flood)
[2014-02-12 18:31:32] psp250, joining. (#ios-driver)
[2014-02-12 18:49:59] psp250, quitting. (*.net *.split)
[2014-02-12 18:59:44] psp250, joining. (#ios-driver)
[2014-02-12 20:27:14] santiycr, joining. (#ios-driver)
[2014-02-12 20:37:25] santiycr, quitting. (Quit: Leaving.)
[2014-02-12 20:40:06] smccarthy, quitting. (Remote host closed the connection)
