[2013-05-14 00:00:27] santiycr, joining. (#ios-driver)
[2013-05-14 00:37:21] admc1, quitting. (Quit: Leaving.)
[2013-05-14 00:54:08] santiycr, quitting. (Quit: Leaving.)
[2013-05-14 00:57:51] admc1, joining. (#ios-driver)
[2013-05-14 02:34:38] AutomatedTester_, joining. (#ios-driver)
[2013-05-14 02:34:54] AutomatedTester, quitting. (Remote host closed the connection)
[2013-05-14 02:34:54] AutomatedTester_, changing nick to AutomatedTester.
[2013-05-14 03:22:48] dgrace, joining. (#ios-driver)
[2013-05-14 04:55:11] dawagner, joining. (#ios-driver)
