[2014-01-11 09:14:33] smccarthy, joining. (#ios-driver)
[2014-01-11 09:50:06] nirvdrum, joining. (#ios-driver)
[2014-01-11 12:46:05] admc, joining. (#ios-driver)
[2014-01-11 13:15:21] admc, quitting. (Quit: Leaving.)
[2014-01-11 15:24:20] admc, joining. (#ios-driver)
[2014-01-11 18:04:26] admc, quitting. (Quit: Leaving.)
[2014-01-11 18:06:29] admc, joining. (#ios-driver)
[2014-01-11 18:06:50] admc, quitting. (Client Quit)
[2014-01-11 18:25:07] nirvdrum, quitting. (Ping timeout: 245 seconds)
