[2014-07-23 00:20:47] lukeis, joining. (#ios-driver)
[2014-07-23 01:47:56] operatiay, joining. (#ios-driver)
[2014-07-23 03:13:33] operatiay, quitting. (Remote host closed the connection)
[2014-07-23 03:22:47] operatiay, joining. (#ios-driver)
[2014-07-23 03:27:59] lukeis, quitting. (Quit: Leaving.)
[2014-07-23 05:56:27] nirvdrum, joining. (#ios-driver)
[2014-07-23 06:23:44] rodrigomartin, joining. (#ios-driver)
[2014-07-23 08:51:26] lukeis, joining. (#ios-driver)
[2014-07-23 09:17:17] operatiay, quitting. (Remote host closed the connection)
