[2014-03-22 07:03:32] nicegraham__, quitting. (*.net *.split)
[2014-03-22 07:08:40] nicegraham__, joining. (#ios-driver)
[2014-03-22 07:09:11] nicegraham__, quitting. (Changing host)
[2014-03-22 07:09:11] nicegraham__, joining. (#ios-driver)
[2014-03-22 07:13:30] ios-driverbot_, joining. (#ios-driver)
[2014-03-22 07:15:47] ios-driverbot, quitting. (Write error: Broken pipe)
[2014-03-22 07:30:21] smccarthy, joining. (#ios-driver)
[2014-03-22 08:14:57] nirvdrum, joining. (#ios-driver)
[2014-03-22 08:42:25] nirvdrum, quitting. (Ping timeout: 240 seconds)
