[2013-04-05 00:29:32] freynaud, joining. (#ios-driver)
[2013-04-05 01:14:00] freynaud, quitting. (Quit: freynaud)
[2013-04-05 01:29:20] freynaud, joining. (#ios-driver)
[2013-04-05 02:20:06] millenium, quitting. (Read error: Connection reset by peer)
[2013-04-05 02:44:00] freynaud, quitting. (Ping timeout: 264 seconds)
[2013-04-05 03:35:45] ddary, quitting. (Quit: ddary)
[2013-04-05 05:55:09] ddary, joining. (#ios-driver)
[2013-04-05 06:16:56] dgrace, leaving. (#ios-driver)
[2013-04-05 06:31:45] ddary, leaving. (#ios-driver)
